ENTITY_STABLE_ID	NAME	DESCRIPTION	TCGA-OR-A5J1-01	TCGA-OR-A5J2-01	TCGA-OR-A5J3-01	TCGA-OR-A5J4-01	TCGA-OR-A5J5-01	TCGA-OR-A5J6-01	TCGA-OR-A5J7-01	TCGA-OR-A5J8-01	TCGA-OR-A5J9-01	TCGA-OR-A5JA-01	TCGA-OR-A5JB-01	TCGA-OR-A5JC-01	TCGA-OR-A5JD-01	TCGA-OR-A5JE-01	TCGA-OR-A5JF-01	TCGA-OR-A5JG-01	TCGA-OR-A5JH-01	TCGA-OR-A5JI-01	TCGA-OR-A5JJ-01	TCGA-OR-A5JK-01	TCGA-OR-A5JL-01	TCGA-OR-A5JM-01	TCGA-OR-A5JO-01	TCGA-OR-A5JP-01	TCGA-OR-A5JQ-01	TCGA-OR-A5JR-01	TCGA-OR-A5JS-01	TCGA-OR-A5JT-01	TCGA-OR-A5JU-01	TCGA-OR-A5JV-01	TCGA-OR-A5JW-01	TCGA-OR-A5JX-01	TCGA-OR-A5JY-01	TCGA-OR-A5JZ-01	TCGA-OR-A5K0-01	TCGA-OR-A5K1-01	TCGA-OR-A5K2-01	TCGA-OR-A5K3-01	TCGA-OR-A5K4-01	TCGA-OR-A5K5-01	TCGA-OR-A5K6-01	TCGA-OR-A5K8-01	TCGA-OR-A5K9-01	TCGA-OR-A5KB-01	TCGA-OR-A5KO-01	TCGA-OR-A5KP-01	TCGA-OR-A5KQ-01	TCGA-OR-A5KS-01	TCGA-OR-A5KT-01	TCGA-OR-A5KU-01	TCGA-OR-A5KV-01	TCGA-OR-A5KW-01	TCGA-OR-A5KX-01	TCGA-OR-A5KY-01	TCGA-OR-A5KZ-01	TCGA-OR-A5L1-01	TCGA-OR-A5L2-01	TCGA-OR-A5L3-01	TCGA-OR-A5L4-01	TCGA-OR-A5L5-01	TCGA-OR-A5L6-01	TCGA-OR-A5L8-01	TCGA-OR-A5L9-01	TCGA-OR-A5LA-01	TCGA-OR-A5LB-01	TCGA-OR-A5LC-01	TCGA-OR-A5LD-01	TCGA-OR-A5LE-01	TCGA-OR-A5LF-01	TCGA-OR-A5LG-01	TCGA-OR-A5LH-01	TCGA-OR-A5LI-01	TCGA-OR-A5LJ-01	TCGA-OR-A5LK-01	TCGA-OR-A5LL-01	TCGA-OR-A5LM-01	TCGA-OR-A5LN-01	TCGA-OR-A5LO-01	TCGA-OR-A5LP-01	TCGA-OR-A5LR-01	TCGA-OR-A5LS-01	TCGA-OR-A5LT-01	TCGA-OU-A5PI-01	TCGA-P6-A5OF-01	TCGA-OR-A5OG-01	TCGA-P6-A5OH-01	TCGA-PA-A5YG-01	TCGA-PK-A5H8-01	TCGA-PK-A5H9-01	TCGA-PK-A5HA-01	TCGA-PK-A5HB-01	TCGA-PK-A5HC-01
1p_status	1p	Copy number status of 1p	Unchanged	Unchanged	Unchanged	NA	Loss	Unchanged	Loss	Unchanged	Loss	Loss	Gain	Loss	Loss	NA	Unchanged	Loss	Loss	Loss	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Loss	Loss	NA	Loss	Loss	Loss	NA	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Loss	NA	Loss	Loss	Gain	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Loss	Loss	NA	Loss	Unchanged	Loss	Loss	Unchanged	Loss	Unchanged	Loss	Unchanged	Unchanged	Loss	Loss	Unchanged	Loss	Unchanged	Loss	Loss	Loss	Loss	Loss	Unchanged	Unchanged	Loss	Loss	Loss	NA	NA	Unchanged	Unchanged	NA	Unchanged	Loss	Unchanged	Unchanged
1q_status	1q	Copy number status of 1q	Unchanged	Gain	Unchanged	Loss	Loss	Unchanged	Unchanged	Unchanged	Loss	Loss	Unchanged	Loss	Loss	Gain	Unchanged	Loss	Loss	Loss	Unchanged	Gain	Unchanged	NA	Unchanged	NA	Loss	Unchanged	Gain	Loss	Unchanged	Unchanged	Loss	Loss	NA	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Loss	Gain	Gain	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Loss	Unchanged	Loss	Unchanged	Loss	Loss	Unchanged	Loss	Unchanged	Gain	Unchanged	NA	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Loss	NA	Loss	Unchanged	Loss	Unchanged	Unchanged	Gain	Loss	Loss	NA	NA	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged
2p_status	2p	Copy number status of 2p	Unchanged	Unchanged	Unchanged	Loss	Loss	Gain	Unchanged	Unchanged	Loss	Loss	Unchanged	Loss	Loss	Gain	Unchanged	Loss	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Gain	Loss	Unchanged	Unchanged	Loss	Unchanged	Loss	Loss	Loss	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Loss	NA	Unchanged	Unchanged	Gain	Unchanged	Loss	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Loss	NA	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Loss	Unchanged	Gain	Gain	Unchanged	Loss	Loss	Unchanged	Unchanged	Unchanged	Loss	Loss	Loss	Loss	Loss	Unchanged	Unchanged	Loss	Loss	Loss	NA	NA	Gain	Unchanged	NA	Unchanged	Loss	Unchanged	Loss
2q_status	2q	Copy number status of 2q	Unchanged	Unchanged	Unchanged	NA	Loss	Gain	NA	Unchanged	Loss	Loss	Unchanged	Loss	Loss	Gain	Unchanged	Loss	Loss	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Gain	Loss	Unchanged	Unchanged	Loss	Gain	Loss	Loss	Loss	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Loss	Unchanged	NA	Unchanged	Gain	Unchanged	Loss	Unchanged	Loss	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Loss	NA	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Loss	Unchanged	Gain	Gain	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Loss	Loss	Loss	Unchanged	Unchanged	Loss	Loss	Loss	NA	NA	Gain	Unchanged	NA	Unchanged	Loss	NA	Loss
3p_status	3p	Copy number status of 3p	Unchanged	Gain	Unchanged	NA	Loss	Unchanged	Loss	Unchanged	Loss	Loss	Loss	Loss	Gain	Unchanged	Unchanged	Loss	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Gain	Gain	Loss	Unchanged	Unchanged	Loss	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Loss	NA	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Gain	Unchanged	Loss	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Loss	Gain	Gain	Loss	Loss	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Loss	NA	NA	Unchanged	Unchanged	NA	Unchanged	Unchanged	Loss	Unchanged
3q_status	3q	Copy number status of 3q	Unchanged	Gain	Unchanged	Unchanged	Loss	Loss	NA	Unchanged	Loss	Loss	NA	Loss	Gain	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Gain	Gain	Loss	Unchanged	Unchanged	Loss	Unchanged	NA	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Loss	Loss	Gain	NA	Loss	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	NA	Unchanged	Loss	Unchanged	NA	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Loss	Loss	Unchanged	Unchanged	Loss	Gain	Gain	Loss	Loss	Unchanged	Loss	Unchanged	Unchanged	Gain	Unchanged	Unchanged	NA	NA	NA	NA	NA	Unchanged	Unchanged	Loss	Loss
4p_status	4p	Copy number status of 4p	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Gain	NA	Loss	Unchanged	Gain	Unchanged	Gain	Loss	Unchanged	Gain	Gain	Gain	Gain	Unchanged	Unchanged	NA	Unchanged	Gain	Unchanged	Gain	Unchanged	Gain	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Loss	Gain	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Gain	NA	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Gain	Gain	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Gain	Loss	Unchanged	Gain	Unchanged	NA	Gain	Loss	Unchanged	Unchanged	Gain	Gain	Unchanged	NA	NA	Unchanged	Unchanged	NA	Unchanged	NA	Unchanged	Unchanged
4q_status	4q	Copy number status of 4q	Unchanged	Unchanged	Unchanged	NA	Gain	Unchanged	Loss	Unchanged	Unchanged	NA	Loss	Unchanged	Gain	Unchanged	Gain	Loss	Unchanged	Gain	NA	Gain	Gain	Loss	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Gain	Unchanged	Gain	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	NA	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	NA	Unchanged	Unchanged	Gain	Gain	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Gain	Gain	Unchanged	Unchanged	NA	Gain	NA	Gain	Loss	Unchanged	Gain	Unchanged	Gain	Gain	Gain	Unchanged	Unchanged	NA	Unchanged	Unchanged	NA	NA	Unchanged	Unchanged	NA	Unchanged	Unchanged	NA	NA
5p_status	5p	Copy number status of 5p	Loss	Unchanged	Gain	Unchanged	Gain	Gain	NA	Gain	Gain	Gain	Unchanged	Gain	Gain	Gain	Gain	Gain	Gain	Gain	Gain	NA	Gain	NA	Unchanged	Unchanged	Unchanged	Gain	Gain	Gain	Unchanged	Gain	NA	NA	Gain	Gain	Unchanged	Gain	NA	Gain	Gain	Gain	Unchanged	Gain	NA	Gain	Gain	Unchanged	Unchanged	Gain	Unchanged	Gain	Unchanged	NA	NA	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Gain	Gain	Gain	Gain	Gain	Gain	Gain	NA	Unchanged	Unchanged	NA	NA	Gain	Loss	Gain	Gain	Loss	Gain	Gain	Gain	Gain	Gain	Gain	Gain	Unchanged	NA	NA	Gain	Gain	NA	Unchanged	Unchanged	Unchanged	NA
5q_status	5q	Copy number status of 5q	Unchanged	Unchanged	Gain	Unchanged	Gain	Gain	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Gain	Gain	Gain	Gain	Gain	Gain	Gain	Gain	Gain	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Loss	Gain	Unchanged	Gain	Gain	Gain	NA	NA	NA	Gain	Unchanged	Gain	Gain	Gain	Unchanged	Gain	Unchanged	NA	Gain	Unchanged	Unchanged	Gain	Unchanged	Gain	Unchanged	Gain	Unchanged	Gain	Unchanged	Gain	Loss	Unchanged	Gain	Gain	Gain	Gain	Gain	Gain	Gain	Gain	Unchanged	Unchanged	Gain	Unchanged	Gain	Loss	Gain	Gain	NA	Gain	Gain	Gain	Gain	Gain	Gain	Gain	Gain	NA	NA	Gain	Gain	NA	Unchanged	NA	Unchanged	Unchanged
6p_status	6p	Copy number status of 6p	Unchanged	Unchanged	Unchanged	NA	Loss	Gain	Unchanged	NA	Loss	Gain	Unchanged	Gain	Loss	Gain	Unchanged	Loss	Loss	Unchanged	Unchanged	Unchanged	Gain	Gain	Unchanged	Unchanged	Loss	Unchanged	Gain	Loss	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Gain	Gain	Unchanged	Unchanged	Loss	NA	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Loss	NA	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Loss	Unchanged	Loss	Unchanged	Loss	Loss	Unchanged	Unchanged	Loss	Unchanged	Gain	Unchanged	Unchanged	Gain	Loss	Unchanged	Unchanged	Loss	Loss	Loss	NA	NA	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	NA
6q_status	6q	Copy number status of 6q	Unchanged	Unchanged	Unchanged	NA	Loss	Gain	Loss	NA	Loss	Gain	Loss	Gain	Loss	Gain	Unchanged	Loss	Loss	Unchanged	Unchanged	Unchanged	Gain	NA	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Gain	Gain	Unchanged	Unchanged	Loss	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Loss	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Loss	Unchanged	Loss	Unchanged	Gain	Loss	NA	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Gain	Loss	Unchanged	Unchanged	Loss	Loss	Loss	NA	NA	Loss	Unchanged	NA	Unchanged	NA	Unchanged	Gain
7p_status	7p	Copy number status of 7p	Unchanged	NA	Gain	Loss	Unchanged	Gain	Unchanged	Gain	Loss	Gain	Unchanged	Loss	Gain	Unchanged	Gain	Gain	Unchanged	Unchanged	Gain	Gain	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Gain	Unchanged	Unchanged	Gain	Unchanged	Gain	Gain	Unchanged	Unchanged	Gain	Unchanged	Gain	Unchanged	Gain	NA	Unchanged	Unchanged	Loss	Gain	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Gain	Gain	Unchanged	Gain	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Gain	Gain	NA	NA	Unchanged	Unchanged	Gain	Loss	Gain	Gain	Unchanged	Gain	Gain	Gain	Gain	Unchanged	Gain	Loss	Unchanged	NA	NA	Unchanged	Gain	NA	Unchanged	Unchanged	Unchanged	Unchanged
7q_status	7q	Copy number status of 7q	Unchanged	Gain	Gain	Loss	Unchanged	Gain	Unchanged	Gain	Unchanged	Gain	Unchanged	Loss	Gain	Loss	Gain	Gain	Unchanged	Unchanged	Gain	Gain	Gain	Loss	Unchanged	Unchanged	Unchanged	Gain	Gain	Unchanged	Unchanged	Gain	Unchanged	Gain	NA	Unchanged	Unchanged	Gain	Unchanged	Gain	Unchanged	NA	NA	Unchanged	Unchanged	Gain	Gain	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Gain	Gain	Unchanged	NA	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Gain	Gain	NA	Unchanged	Unchanged	Unchanged	Gain	Loss	Gain	Gain	Unchanged	Gain	Gain	NA	Gain	Unchanged	Gain	Loss	Unchanged	NA	NA	Unchanged	Gain	NA	Unchanged	Unchanged	Unchanged	NA
